x LHS_beta=90.000 LHS_beta=900.000 LHS_beta=9000.000 LHS_beta=90000.000 LHS_beta=900000.000 LHS_beta=9000000.000 RHS_beta=90.000 RHS_beta=900.000 RHS_beta=9000.000 RHS_beta=90000.000 RHS_beta=900000.000 RHS_beta=9000000.000
1.046202706862699188e-05 3.552176570857723389e+11 3.552150589530371582e+12 3.549554757946135938e+13 3.311088814581458125e+14 7.543892642256710000e+14 7.545121269938621250e+14 2.186999353685135429e+05 2.186935369719031453e+08 2.180549007844948120e+11 1.645981723102655938e+14 1.512510544317133008e+13 0.000000000000000000e+00
1.044108206949060142e-05 3.698946976436431885e+11 3.698920029819359375e+12 3.696227745220168750e+13 3.448820728424230625e+14 7.871328610663531250e+14 7.872634962563267500e+14 2.187861318313986412e+05 2.187797565161510110e+08 2.181434193344512024e+11 1.648433089903047500e+14 1.544983522112640820e+13 0.000000000000000000e+00
1.042013707035421095e-05 3.846255599951505127e+11 3.846227692502052246e+12 3.843439399566638281e+13 3.587126536149911875e+14 8.201226103113785000e+14 8.202613108911537500e+14 2.188695699580098735e+05 2.188632177730280459e+08 2.182291845224016113e+11 1.650863958683975938e+14 1.578139712231928906e+13 0.000000000000000000e+00
1.039919207121782049e-05 3.994086838683381958e+11 3.994057974992877930e+12 3.991174131793988281e+13 3.725991931876311250e+14 8.533566580735888750e+14 8.535037258205063750e+14 2.189502262680978747e+05 2.189438972619384527e+08 2.183121728331781311e+11 1.653274071915416562e+14 1.611993056557026367e+13 0.000000000000000000e+00
1.037824707208143002e-05 4.142424785085471802e+11 4.142394969879425781e+12 4.139416047902949219e+13 3.865402308196749375e+14 8.868330700826106250e+14 8.869888158013705000e+14 2.190280772994899307e+05 2.190217715203556120e+08 2.183923607689253845e+11 1.655663171488066250e+14 1.646557768885227148e+13 0.000000000000000000e+00
1.035730207294503956e-05 4.291253227042081299e+11 4.291222465180335449e+12 4.288148949340734375e+13 4.005342756091607500e+14 9.205498309255168750e+14 9.207145746703266250e+14 2.191030996117317991e+05 2.190968171074636281e+08 2.184697248527384949e+11 1.658030998744323125e+14 1.681848339889638867e+13 0.000000000000000000e+00
1.033635707380864909e-05 4.440555648256218262e+11 4.440523944733060547e+12 4.437356333385056250e+13 4.145798064963321875e+14 9.545048433061943750e+14 9.546789146070612500e+14 2.191752697897775215e+05 2.191690106078472733e+08 2.185442416323490601e+11 1.660377294509834688e+14 1.717879542155823438e+13 0.000000000000000000e+00
1.031541207467225862e-05 4.590315228769782715e+11 4.590282588714027344e+12 4.587021393660464844e+13 4.286752722797435625e+14 9.886959273242228750e+14 9.888796654174273750e+14 2.192445644477266469e+05 2.192383286352293193e+08 2.186158876838585815e+11 1.662701799125607500e+14 1.754666435312020312e+13 0.000000000000000000e+00
1.029446707553586816e-05 4.740514845618524780e+11 4.740481274293546875e+12 4.737127020789393750e+13 4.428190916452129375e+14 1.023120819774058250e+15 1.023314573836842750e+15 2.193109602326080203e+05 2.193047478362537622e+08 2.186846396155185547e+11 1.665004252480681875e+14 1.792224371231891016e+13 0.000000000000000000e+00
1.027352207639947769e-05 4.891137073624173584e+11 4.891102576427913086e+12 4.887655803180321094e+13 4.570096532078745000e+14 1.057777173465334375e+15 1.057981302854838625e+15 2.193744338282098179e+05 2.193682448943165541e+08 2.187504740715573730e+11 1.667284394045369375e+14 1.830568999328306641e+13 0.000000000000000000e+00
