x	Re(denom)	Im(denom)	arg(denom)
-100.000000	0.415842	99.979998	1.566637
-97.979798	0.415846	97.959384	1.566551
-97.979798	0.415846	97.959384	1.566551
-95.959596	0.415849	95.938752	1.566462
-93.939394	0.415853	93.918102	1.566369
-91.919192	0.415858	91.897432	1.566271
-89.898990	0.415862	89.876740	1.566169
-87.878788	0.415867	87.856027	1.566063
-87.878788	0.415867	87.856027	1.566063
-85.858586	0.415872	85.835289	1.565951
-85.858586	0.415872	85.835289	1.565951
-83.838384	0.415878	83.814526	1.565834
-83.838384	0.415878	83.814526	1.565834
-81.818182	0.415883	81.793734	1.565712
-81.818182	0.415883	81.793734	1.565712
-79.797980	0.415890	79.772913	1.565583
-79.797980	0.415890	79.772913	1.565583
-77.777778	0.415897	77.752060	1.565447
-77.777778	0.415897	77.752060	1.565447
-75.757576	0.415904	75.731172	1.565305
-75.757576	0.415904	75.731172	1.565305
-73.737374	0.415912	73.710246	1.565154
-71.717172	0.415921	71.689280	1.564995
-71.717172	0.415921	71.689280	1.564995
-69.696970	0.415930	69.668269	1.564826
-69.696970	0.415930	69.668269	1.564826
-67.676768	0.415941	67.647210	1.564648
-67.676768	0.415941	67.647210	1.564648
-65.656566	0.415952	65.626098	1.564458
-63.636364	0.415965	63.604929	1.564257
-61.616162	0.415978	61.583696	1.564042
-59.595960	0.415993	59.562392	1.563812
-59.595960	0.415993	59.562392	1.563812
-57.575758	0.416010	57.541012	1.563567
-55.555556	0.416029	55.519546	1.563303
-55.555556	0.416029	55.519546	1.563303
-53.535354	0.416050	53.497984	1.563020
-51.515152	0.416073	51.476316	1.562714
-49.494949	0.416099	49.454528	1.562383
-49.494949	0.416099	49.454528	1.562383
-47.474747	0.416129	47.432604	1.562024
-45.454545	0.416162	45.410528	1.561632
-43.434343	0.416201	43.388277	1.561204
-43.434343	0.416201	43.388277	1.561204
-41.414141	0.416245	41.365825	1.560734
-41.414141	0.416245	41.365825	1.560734
-39.393939	0.416296	39.343143	1.560216
-39.393939	0.416296	39.343143	1.560216
-37.373737	0.416356	37.320192	1.559640
-35.353535	0.416426	35.296926	1.558999
-33.333333	0.416509	33.273289	1.558279
-31.313131	0.416610	31.249206	1.557465
-29.292929	0.416731	29.224588	1.556538
-29.292929	0.416731	29.224588	1.556538
-27.272727	0.416881	27.199312	1.555471
-25.252525	0.417069	25.173222	1.554230
-23.232323	0.417308	23.146104	1.552769
-23.232323	0.417308	23.146104	1.552769
-21.212121	0.417619	21.117662	1.551023
-21.212121	0.417619	21.117662	1.551023
-19.191919	0.418034	19.087474	1.548899
-17.171717	0.418606	17.054919	1.546257
-17.171717	0.418606	17.054919	1.546257
-15.151515	0.419426	15.019037	1.542877
-13.131313	0.420662	12.978270	1.538395
-11.111111	0.422652	10.929893	1.532146
-11.111111	0.422652	10.929893	1.532146
